6.000000000000000000e+00,5.089999999999999858e+00,4.000000000000000000e+00
4.000000000000000000e+00,3.339999999999999858e+00,3.000000000000000000e+00
6.000000000000000000e+00,5.139999999999999680e+00,5.000000000000000000e+00
3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
8.000000000000000000e+00,6.370000000000000107e+00,6.000000000000000000e+00
5.000000000000000000e+00,3.229999999999999982e+00,3.000000000000000000e+00
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
4.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
9.000000000000000000e+00,7.490000000000000213e+00,7.000000000000000000e+00
5.000000000000000000e+00,3.069999999999999840e+00,3.000000000000000000e+00
8.000000000000000000e+00,6.120000000000000107e+00,6.000000000000000000e+00
3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
1.000000000000000000e+01,8.689999999999999503e+00,8.000000000000000000e+00
5.000000000000000000e+00,3.189999999999999947e+00,3.000000000000000000e+00
5.000000000000000000e+00,3.060000000000000053e+00,3.000000000000000000e+00
4.000000000000000000e+00,3.160000000000000142e+00,3.000000000000000000e+00
5.000000000000000000e+00,4.700000000000000178e+00,4.000000000000000000e+00
8.000000000000000000e+00,6.250000000000000000e+00,6.000000000000000000e+00
6.000000000000000000e+00,4.959999999999999964e+00,4.000000000000000000e+00
3.000000000000000000e+00,3.000000000000000000e+00,3.000000000000000000e+00
