5.5,4.5,4,1.5,0.5,1
6,5.27,5,1,0.27,0.73
6,5.05,4,2,1.05,0.95
9,8.13,7,2,1.13,0.87
6.5,5.33,5,1.5,0.33,1.17
5,4.07,2.5,2.5,1.57,0.93
9,7.16,6.3,2.7,0.86,1.84
7,6.29,5.5,1.5,0.79,0.71
6,5.14,5,1,0.14,0.86
6.5,5,3.5,3,1.5,1.5
6,5.1,5,1,0.1,0.9
7.5,5.8,5,2.5,0.8,1.7
6,4.85,4,2,0.85,1.15
8,6.4,6,2,0.4,1.6
6,5.19,4,2,1.19,0.81
